Word,Freq_CSAT,LogE_Freq_CSAT,Log10_Freq_CSAT,Length,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,Ortho_N,OLD,OLDF
has,121,4.795790545596741,2.0863598306747484,3,1175962,13.978,1133.92,4.762,10,1.25,8.712
may,120,4.787491742782046,2.0827853703164503,3,536229,13.192,511.37,4.416,18,1.0,10.44
me,117,4.762173934797756,2.0718820073061255,2,1303959,14.081,9241.94,5.673,7,1.4,9.702
no,117,4.762173934797756,2.0718820073061255,2,1157549,13.962,5971.55,5.484,7,1.35,9.701
were,116,4.7535901911063645,2.0681858617461617,4,663883,13.406,1662.82,4.928,5,1.6,8.548
who,116,4.7535901911063645,2.0681858617461617,3,931859,13.745,2222.94,5.054,2,1.8,9.305
which,115,4.74493212836325,2.0644579892269186,5,980925,13.796,477.24,4.386,0,2.0,8.059
make,114,4.736198448394496,2.060697840353612,4,520909,13.163,1387.75,4.85,17,1.05,8.458
most,114,4.736198448394496,2.060697840353612,4,495365,13.113,350.76,4.253,10,1.45,8.298
how,110,4.700480365792417,2.0453229787866576,3,747700,13.525,3056.22,5.193,16,1.0,8.537
out,109,4.6913478822291435,2.041392685158225,3,1090659,13.902,3865.31,5.295,10,1.15,8.899
up,108,4.68213122712422,2.037426497940624,2,931275,13.744,3670.0,5.272,1,1.75,9.432
her,108,4.68213122712422,2.037426497940624,3,594844,13.296,2835.82,5.16,6,1.3,9.174
take,107,4.672828834461906,2.03342375548695,4,330816,12.709,1891.04,4.984,14,1.1,8.288
life,106,4.663439094112067,2.0293837776852097,4,219561,12.299,796.65,4.609,9,1.45,8.479
like,104,4.6443908991413725,2.0211892990699383,4,1060831,13.875,3998.96,5.309,12,1.15,8.38
new,104,4.6443908991413725,2.0211892990699383,3,709084,13.472,723.78,4.567,10,1.3,9.074
she,103,4.634728988229636,2.0170333392987803,3,488052,13.098,3732.88,5.28,4,1.6,8.784
world,102,4.624972813284271,2.012837224705172,5,295523,12.597,455.22,4.366,1,1.85,9.109
good,101,4.61512051684126,2.0086001717619175,4,628816,13.352,2610.14,5.124,8,1.4,8.18
way,101,4.61512051684126,2.0086001717619175,3,490087,13.102,1424.73,4.861,18,1.0,9.754
get,99,4.59511985013459,2.0,3,978898,13.794,4583.76,5.369,14,1.2,9.005
had,99,4.59511985013459,2.0,3,753477,13.532,1675.92,4.932,17,1.0,9.465
should,98,4.584967478670572,1.99563519459755,6,594293,13.295,1061.94,4.734,0,2.0,8.47
some,96,4.564348191467836,1.9867717342662448,4,1042740,13.857,1727.24,4.945,9,1.55,8.544
also,95,4.553876891600541,1.9822712330395684,4,782967,13.571,206.43,4.022,1,1.95,8.077
help,95,4.553876891600541,1.9822712330395684,4,335483,12.723,921.12,4.672,7,1.55,8.646
go,90,4.499809670330265,1.9590413923210936,2,409671,12.923,3793.04,5.287,7,1.35,9.686
am,89,4.48863636973214,1.954242509439325,2,547593,13.213,1106.63,4.752,7,1.0,10.26
just,86,4.454347296253507,1.9395192526186185,4,1020539,13.836,4749.14,5.384,8,1.55,8.012
thank,85,4.442651256490317,1.9344984512435677,5,95706,11.469,1115.24,4.755,2,1.7,8.281
many,83,4.418840607796598,1.9242792860618816,4,474923,13.071,359.43,4.263,3,1.6,8.65
great,82,4.406719247264253,1.919078092376074,5,260267,12.469,820.86,4.622,3,1.85,8.211
its,81,4.394449154672439,1.9138138523837167,3,388805,12.871,171.71,3.942,0,1.5,8.662
better,81,4.394449154672439,1.9138138523837167,6,284711,12.559,794.0,4.607,7,1.6,6.789
into,78,4.356708826689592,1.8976270912904414,4,563310,13.242,844.59,4.634,3,1.75,8.369
much,78,4.356708826689592,1.8976270912904414,4,483898,13.09,973.25,4.696,4,1.7,7.83
even,76,4.330733340286331,1.8864907251724818,4,490549,13.103,875.92,4.65,3,1.7,8.581
could,76,4.330733340286331,1.8864907251724818,5,544756,13.208,1629.59,4.92,2,1.85,8.486
been,75,4.31748811353631,1.8808135922807914,4,735347,13.508,1736.73,4.947,10,1.4,8.329
day,75,4.31748811353631,1.8808135922807914,3,239111,12.385,801.82,4.612,16,1.15,9.019
such,75,4.31748811353631,1.8808135922807914,4,371015,12.824,291.22,4.172,3,1.85,8.0
because,74,4.30406509320417,1.8750612633917,7,503563,13.129,1071.02,4.737,0,2.8,6.96
information,73,4.290459441148391,1.8692317197309762,11,467659,13.055,89.35,3.659,0,2.65,6.267
think,71,4.2626798770413155,1.8573324964312685,5,652944,13.389,2691.39,5.138,4,1.7,8.352
say,71,4.2626798770413155,1.8573324964312685,3,359478,12.792,1639.78,4.922,25,1.0,9.306
work,70,4.248495242049359,1.8512583487190752,4,451298,13.02,798.02,4.61,9,1.5,8.578
know,69,4.23410650459726,1.845098040014257,4,800100,13.592,5721.18,5.465,4,1.65,8.491
need,68,4.219507705176107,1.8388490907372552,4,415850,12.938,1294.9,4.82,7,1.5,8.276
own,67,4.204692619390966,1.8325089127062364,3,284270,12.558,459.2,4.37,2,1.55,8.936
him,67,4.204692619390966,1.8325089127062364,3,368957,12.818,3484.51,5.25,12,1.25,8.862
come,67,4.204692619390966,1.8325089127062364,4,232041,12.355,3140.98,5.205,15,1.15,8.227
same,66,4.189654742026425,1.8260748027008264,4,401465,12.903,417.18,4.328,15,1.15,8.467
different,66,4.189654742026425,1.8260748027008264,9,223502,12.317,209.53,4.029,0,2.7,6.065
want,65,4.174387269895637,1.8195439355418688,4,508123,13.138,2759.18,5.148,12,1.3,8.511
please,65,4.174387269895637,1.8195439355418688,6,580704,13.272,1100.96,4.749,0,1.8,7.703
thanks,64,4.1588830833596715,1.8129133566428555,6,253766,12.444,623.31,4.502,1,1.85,8.449
well,63,4.143134726391533,1.806179973983887,4,552532,13.222,2990.65,5.183,12,1.25,8.381
must,63,4.143134726391533,1.806179973983887,4,306094,12.632,699.24,4.552,15,1.2,8.123
use,63,4.143134726391533,1.806179973983887,3,677371,13.426,343.84,4.244,0,1.65,8.714
best,62,4.127134385045092,1.7993405494535817,4,269708,12.505,404.37,4.314,16,1.0,8.146
here,62,4.127134385045092,1.7993405494535817,4,477382,13.076,4525.25,5.363,8,1.4,8.461
very,61,4.110873864173311,1.792391689498254,4,587578,13.284,1241.25,4.801,3,1.8,7.906
important,61,4.110873864173311,1.792391689498254,9,105978,11.571,207.59,4.025,0,3.05,6.5
over,61,4.110873864173311,1.792391689498254,4,452595,13.023,1323.29,4.829,3,1.55,7.95
through,60,4.0943445622221,1.7853298350107671,7,305803,12.631,549.53,4.448,0,2.35,7.388
become,60,4.0943445622221,1.7853298350107671,6,93420,11.445,115.57,3.771,1,2.45,7.402
after,59,4.07753744390572,1.7781512503836436,5,414103,12.934,682.59,4.542,2,1.85,7.427
find,58,4.060443010546419,1.7708520116421442,4,378725,12.845,830.96,4.627,13,1.15,8.575
children,55,4.007333185232471,1.7481880270062005,8,96102,11.473,175.1,3.951,0,3.45,6.512
next,55,4.007333185232471,1.7481880270062005,4,188009,12.144,452.75,4.363,4,1.75,8.985
likely,55,4.007333185232471,1.7481880270062005,6,71675,11.18,25.76,3.119,1,2.0,7.284
might,54,3.9889840465642745,1.7403626894942439,5,277738,12.534,516.35,4.42,7,1.6,8.679
any,54,3.9889840465642745,1.7403626894942439,3,1138564,13.945,1099.37,4.749,4,1.6,9.013
back,54,3.9889840465642745,1.7403626894942439,4,393090,12.882,2009.16,5.011,17,1.0,8.312
right,54,3.9889840465642745,1.7403626894942439,5,388384,12.87,4008.39,5.311,7,1.45,8.618
thus,54,3.9889840465642745,1.7403626894942439,4,68926,11.141,12.31,2.799,3,1.75,8.146
being,53,3.970291913552122,1.7323937598229686,5,362268,12.8,485.9,4.394,1,1.8,8.107
too,53,3.970291913552122,1.7323937598229686,3,388628,12.87,1371.57,4.845,16,1.0,8.954
however,52,3.9512437185814275,1.724275869600789,7,230166,12.347,45.08,3.362,0,2.7,7.492
where,52,3.9512437185814275,1.724275869600789,5,454613,13.027,1830.22,4.97,2,1.8,8.2
did,51,3.9318256327243257,1.7160033436347992,3,382593,12.855,2341.37,5.077,13,1.25,9.02
visit,51,3.9318256327243257,1.7160033436347992,5,43874,10.689,58.69,3.476,0,1.95,8.243
others,51,3.9318256327243257,1.7160033436347992,6,169716,12.042,99.24,3.704,1,1.8,7.988
why,51,3.9318256327243257,1.7160033436347992,3,361343,12.798,2248.76,5.059,5,1.7,9.426
future,50,3.912023005428146,1.7075701760979363,6,90741,11.416,103.49,3.723,1,2.3,7.162
person,49,3.8918202981106265,1.6989700043360187,6,167439,12.028,212.88,4.036,1,1.85,8.538
each,49,3.8918202981106265,1.6989700043360187,4,303525,12.623,253.25,4.111,2,1.65,8.528
hope,49,3.8918202981106265,1.6989700043360187,4,150675,11.923,320.63,4.214,12,1.2,8.389
years,49,3.8918202981106265,1.6989700043360187,5,348898,12.763,568.69,4.463,10,1.4,7.884
those,49,3.8918202981106265,1.6989700043360187,5,415648,12.938,753.02,4.584,3,1.8,8.927
enjoy,48,3.871201010907891,1.6901960800285136,5,46729,10.752,82.78,3.626,1,2.35,8.043
today,48,3.871201010907891,1.6901960800285136,5,103604,11.548,433.8,4.345,1,1.95,7.927
said,47,3.8501476017100584,1.6812412373755872,4,352357,12.772,1108.45,4.752,8,1.45,8.535
music,47,3.8501476017100584,1.6812412373755872,5,134404,11.809,151.65,3.889,0,2.0,7.307
less,47,3.8501476017100584,1.6812412373755872,4,158428,11.973,111.1,3.753,8,1.55,8.295
without,47,3.8501476017100584,1.6812412373755872,7,254348,12.446,354.65,4.257,0,2.95,6.684
feel,47,3.8501476017100584,1.6812412373755872,4,162048,11.996,627.24,4.505,9,1.4,8.311
order,46,3.828641396489095,1.6720978579357175,5,193686,12.174,156.57,3.902,1,1.85,7.291
long,46,3.828641396489095,1.6720978579357175,4,273917,12.521,675.16,4.537,7,1.5,8.42
situation,45,3.8066624897703196,1.662757831681574,9,59523,10.994,82.49,3.624,0,2.65,7.104
social,45,3.8066624897703196,1.662757831681574,6,58169,10.971,33.39,3.232,0,2.2,7.166
made,45,3.8066624897703196,1.662757831681574,4,271084,12.51,561.29,4.457,12,1.35,8.477
therefore,45,3.8066624897703196,1.662757831681574,9,58572,10.978,20.75,3.025,1,3.25,6.341
away,44,3.784189633918261,1.6532125137753437,4,150815,11.924,730.9,4.571,2,1.85,8.137
around,44,3.784189633918261,1.6532125137753437,6,268131,12.499,736.73,4.575,2,1.8,8.134
before,44,3.784189633918261,1.6532125137753437,6,344936,12.751,794.14,4.607,0,2.55,7.242
between,44,3.784189633918261,1.6532125137753437,7,230878,12.35,175.14,3.951,0,3.25,6.789
first,44,3.784189633918261,1.6532125137753437,5,518924,13.16,840.57,4.632,0,1.95,8.299
another,44,3.784189633918261,1.6532125137753437,7,286263,12.565,509.22,4.415,0,2.55,7.4
used,43,3.7612001156935624,1.6434526764861874,4,365662,12.809,344.14,4.244,2,1.75,7.734
give,43,3.7612001156935624,1.6434526764861874,4,230878,12.35,1167.82,4.775,7,1.5,8.346
things,43,3.7612001156935624,1.6434526764861874,6,262799,12.479,692.88,4.548,1,1.9,7.326
two,42,3.7376696182833684,1.6334684555795864,3,456473,13.031,1066.35,4.736,2,1.8,9.154
making,42,3.7376696182833684,1.6334684555795864,6,119373,11.69,222.53,4.055,4,1.65,7.463
keep,41,3.713572066704308,1.6232492903979006,4,183906,12.122,702.86,4.554,9,1.5,8.245
both,41,3.713572066704308,1.6232492903979006,4,296623,12.6,295.33,4.178,4,1.65,8.274
again,41,3.713572066704308,1.6232492903979006,5,249680,12.428,792.71,4.607,0,1.95,8.504
really,41,3.713572066704308,1.6232492903979006,6,398246,12.895,1500.16,4.884,2,1.85,8.044
still,40,3.6888794541139363,1.6127838567197355,5,363407,12.803,788.73,4.604,6,1.55,8.041
place,40,3.6888794541139363,1.6127838567197355,5,195199,12.182,602.67,4.488,4,1.55,7.968
something,40,3.6888794541139363,1.6127838567197355,9,331899,12.713,1500.16,4.884,0,2.95,6.817
water,40,3.6888794541139363,1.6127838567197355,5,105961,11.571,225.06,4.06,6,1.5,7.561
change,40,3.6888794541139363,1.6127838567197355,6,157119,11.965,240.35,4.088,2,1.8,7.461
love,39,3.6635616461296463,1.6020599913279623,4,165830,12.019,1114.98,4.755,12,1.15,8.458
experience,39,3.6635616461296463,1.6020599913279623,10,234638,12.366,60.55,3.49,1,2.85,6.502
sure,39,3.6635616461296463,1.6020599913279623,4,260476,12.47,1099.82,4.749,6,1.6,8.059
words,39,3.6635616461296463,1.6020599913279623,5,99249,11.505,122.02,3.794,8,1.45,7.979
look,39,3.6635616461296463,1.6020599913279623,4,253524,12.443,1947.27,4.997,11,1.4,8.171
while,39,3.6635616461296463,1.6020599913279623,5,284228,12.558,349.43,4.251,5,1.65,7.767
down,38,3.6375861597263857,1.591064607026499,4,293731,12.59,1490.27,4.881,4,1.55,8.238
number,38,3.6375861597263857,1.591064607026499,6,283001,12.553,240.94,4.09,1,1.85,6.567
little,38,3.6375861597263857,1.591064607026499,6,288496,12.572,1446.39,4.868,0,2.0,6.784
card,38,3.6375861597263857,1.591064607026499,4,222822,12.314,85.43,3.639,12,1.15,8.472
always,38,3.6375861597263857,1.591064607026499,6,200870,12.21,655.25,4.524,0,2.25,7.457
does,38,3.6375861597263857,1.591064607026499,4,525612,13.172,666.71,4.532,8,1.35,7.544
food,37,3.6109179126442243,1.5797835966168101,4,59724,10.997,154.43,3.896,9,1.45,8.436
part,37,3.6109179126442243,1.5797835966168101,4,249067,12.425,261.51,4.125,14,1.0,8.444
try,36,3.58351893845611,1.568201724066995,3,272681,12.516,476.75,4.386,7,1.5,9.0
human,36,3.58351893845611,1.568201724066995,5,180168,12.102,124.76,3.804,0,1.9,7.286
often,35,3.5553480614894135,1.5563025007672873,5,117801,11.677,57.35,3.466,0,1.95,7.583
live,35,3.5553480614894135,1.5563025007672873,4,128442,11.763,344.59,4.245,11,1.15,8.329
call,34,3.5263605246161616,1.5440680443502757,4,241962,12.397,861.39,4.643,13,1.25,8.411
put,34,3.5263605246161616,1.5440680443502757,3,224207,12.32,828.45,4.626,15,1.05,8.587
night,34,3.5263605246161616,1.5440680443502757,5,97524,11.488,866.04,4.645,7,1.5,8.267
once,34,3.5263605246161616,1.5440680443502757,4,188862,12.149,344.88,4.245,0,1.9,8.72
together,34,3.5263605246161616,1.5440680443502757,8,90238,11.41,383.39,4.291,0,3.0,6.862
every,34,3.5263605246161616,1.5440680443502757,5,230149,12.346,549.16,4.447,1,1.8,8.243
art,34,3.5263605246161616,1.5440680443502757,3,62513,11.043,70.8,3.558,8,1.1,8.925
times,33,3.4965075614664802,1.5314789170422551,5,156832,11.963,220.02,4.05,10,1.4,7.833
free,33,3.4965075614664802,1.5314789170422551,4,244067,12.405,177.53,3.957,4,1.6,8.264
learn,33,3.4965075614664802,1.5314789170422551,5,71507,11.178,118.57,3.782,1,1.8,8.263
never,33,3.4965075614664802,1.5314789170422551,5,303028,12.622,1362.55,4.842,4,1.75,7.997
old,33,3.4965075614664802,1.5314789170422551,3,238321,12.381,608.94,4.492,1,1.55,8.965
problem,33,3.4965075614664802,1.5314789170422551,7,314595,12.659,330.06,4.226,0,2.65,7.303
understand,32,3.4657359027997265,1.5185139398778875,10,107528,11.586,482.45,4.391,0,2.65,5.182
school,32,3.4657359027997265,1.5185139398778875,6,119951,11.695,333.12,4.23,0,2.3,7.457
group,32,3.4657359027997265,1.5185139398778875,5,284243,12.558,73.76,3.575,1,1.9,7.383
play,32,3.4657359027997265,1.5185139398778875,4,149546,11.915,354.53,4.257,6,1.45,8.047
yourself,31,3.4339872044851463,1.505149978319906,8,84061,11.339,434.33,4.345,0,3.35,6.854
ways,31,3.4339872044851463,1.505149978319906,4,54302,10.902,51.63,3.421,9,1.45,8.36
off,31,3.4339872044851463,1.505149978319906,3,312896,12.654,1179.51,4.779,2,1.8,8.595
credit,31,3.4339872044851463,1.505149978319906,6,49110,10.802,45.82,3.369,0,2.4,7.086
age,30,3.4011973816621555,1.4913616938342726,3,66835,11.11,79.2,3.606,10,1.1,8.668
far,30,3.4011973816621555,1.4913616938342726,3,176812,12.083,220.76,4.051,16,1.0,9.203
possible,30,3.4011973816621555,1.4913616938342726,8,159908,11.982,114.04,3.765,1,2.95,6.56
ever,30,3.4011973816621555,1.4913616938342726,4,173858,12.066,709.22,4.558,2,1.6,8.11
soon,30,3.4011973816621555,1.4913616938342726,4,90301,11.411,257.65,4.119,7,1.5,8.248
remember,29,3.367295829986474,1.4771212547196624,8,142627,11.868,542.47,4.442,0,2.7,7.209
example,29,3.367295829986474,1.4771212547196624,7,139009,11.842,29.94,3.184,0,2.7,7.059
mind,29,3.367295829986474,1.4771212547196624,4,131156,11.784,484.61,4.393,13,1.25,8.516
self,29,3.367295829986474,1.4771212547196624,4,29333,10.286,14.16,2.859,2,1.8,8.772
rather,29,3.367295829986474,1.4771212547196624,6,146049,11.892,114.22,3.765,3,1.85,7.458
result,29,3.367295829986474,1.4771212547196624,6,66995,11.112,19.76,3.004,0,2.1,7.268
able,29,3.367295829986474,1.4771212547196624,4,176528,12.081,159.9,3.912,2,1.5,7.614
three,28,3.332204510175204,1.462397997898956,5,165169,12.015,542.24,4.442,1,1.8,8.415
home,28,3.332204510175204,1.462397997898956,4,190434,12.157,774.33,4.596,9,1.35,8.536
friends,28,3.332204510175204,1.462397997898956,7,77337,11.256,305.45,4.192,0,2.45,7.569
became,28,3.332204510175204,1.462397997898956,6,34338,10.444,47.75,3.387,1,2.2,7.308
watch,28,3.332204510175204,1.462397997898956,5,56974,10.95,330.02,4.226,7,1.6,8.032
turn,27,3.295836866004329,1.4471580313422192,4,89685,11.404,306.47,4.194,5,1.6,8.056
happy,27,3.295836866004329,1.4471580313422192,5,70881,11.169,333.2,4.23,4,1.8,7.204
family,26,3.258096538021482,1.4313637641589874,6,88710,11.393,354.25,4.257,0,2.2,6.912
finally,26,3.258096538021482,1.4313637641589874,7,70037,11.157,117.43,3.777,0,2.5,6.983
doing,26,3.258096538021482,1.4313637641589874,5,166241,12.021,1029.25,4.72,2,1.75,7.933
students,26,3.258096538021482,1.4313637641589874,8,55764,10.929,30.67,3.195,0,2.95,7.097
animals,26,3.258096538021482,1.4313637641589874,7,25826,10.159,39.08,3.3,0,2.7,7.027
believe,26,3.258096538021482,1.4313637641589874,7,208406,12.247,625.14,4.504,1,2.25,6.824
instead,26,3.258096538021482,1.4313637641589874,7,106318,11.574,79.27,3.607,0,2.8,6.766
open,26,3.258096538021482,1.4313637641589874,4,145040,11.885,320.41,4.213,3,1.75,8.274
among,26,3.258096538021482,1.4313637641589874,5,60232,11.006,33.9,3.238,1,1.95,7.899
short,25,3.2188758248682006,1.414973347970818,5,95521,11.467,85.63,3.64,7,1.45,8.12
buy,25,3.2188758248682006,1.414973347970818,3,130387,11.778,192.43,3.992,9,1.3,8.781
okay,25,3.2188758248682006,1.414973347970818,4,33915,10.432,2006.27,5.01,0,2.0,8.653
tomorrow,25,3.2188758248682006,1.414973347970818,8,14556,9.586,335.96,4.234,0,3.7,6.816
stay,25,3.2188758248682006,1.414973347970818,4,49009,10.8,515.65,4.42,8,1.35,8.202
value,25,3.2188758248682006,1.414973347970818,5,82888,11.325,21.51,3.041,2,1.75,7.512
environment,25,3.2188758248682006,1.414973347970818,11,70839,11.168,12.78,2.815,0,3.6,6.432
job,25,3.2188758248682006,1.414973347970818,3,152135,11.933,413.0,4.324,14,1.2,8.719
big,24,3.1780538303479458,1.3979400086720377,3,178681,12.093,682.82,4.542,16,1.1,8.74
language,24,3.1780538303479458,1.3979400086720377,8,97874,11.491,35.1,3.253,0,3.05,6.603
real,24,3.1780538303479458,1.3979400086720377,4,197763,12.195,442.8,4.354,14,1.15,8.618
year,24,3.1780538303479458,1.3979400086720377,4,246566,12.415,277.92,4.152,12,1.2,8.516
nature,24,3.1780538303479458,1.3979400086720377,6,51563,10.851,45.16,3.362,1,1.95,7.697
since,24,3.1780538303479458,1.3979400086720377,5,320454,12.677,314.98,4.206,4,1.75,8.092
lives,24,3.1780538303479458,1.3979400086720377,5,41676,10.638,139.69,3.853,10,1.3,7.787
learning,24,3.1780538303479458,1.3979400086720377,8,34857,10.459,20.31,3.016,1,1.85,7.234
further,24,3.1780538303479458,1.3979400086720377,7,83287,11.33,52.75,3.43,1,2.6,6.947
pay,24,3.1780538303479458,1.3979400086720377,3,133802,11.804,254.61,4.114,21,1.0,9.563
money,24,3.1780538303479458,1.3979400086720377,5,209588,12.253,640.76,4.514,3,1.75,7.655
process,24,3.1780538303479458,1.3979400086720377,7,98998,11.503,27.98,3.155,2,2.0,7.473
whether,24,3.1780538303479458,1.3979400086720377,7,112151,11.628,67.14,3.535,1,2.4,7.374
everything,23,3.1354942159291497,1.380211241711606,10,112573,11.631,654.88,4.524,0,3.9,6.378
called,23,3.1354942159291497,1.380211241711606,6,187701,12.143,340.02,4.239,6,1.7,6.678
thought,23,3.1354942159291497,1.380211241711606,7,174954,12.072,808.47,4.615,0,2.1,7.569
makes,23,3.1354942159291497,1.380211241711606,5,134406,11.809,241.1,4.09,10,1.4,7.78
fact,23,3.1354942159291497,1.380211241711606,4,184510,12.125,172.57,3.945,5,1.55,8.455
few,23,3.1354942159291497,1.380211241711606,3,264493,12.486,301.82,4.187,10,1.45,9.054
past,23,3.1354942159291497,1.380211241711606,4,89390,11.401,123.76,3.8,14,1.1,8.402
enough,23,3.1354942159291497,1.380211241711606,6,191008,12.16,501.33,4.408,0,2.5,7.079
start,23,3.1354942159291497,1.380211241711606,5,172475,12.058,340.1,4.239,4,1.55,7.808
going,23,3.1354942159291497,1.380211241711606,5,305772,12.631,2123.29,5.035,1,1.85,7.753
humans,23,3.1354942159291497,1.380211241711606,6,22233,10.009,16.29,2.92,1,2.35,7.126
